date,status,speaker,title,url,last_checked,language,type,description
2020-04-19,Success,Unknown Speaker,04-19-2020 Darkness That May Be Felt,https://www.youtube.com/watch?v=4auBwOY_vVo,2025-12-28,Unknown,Full Sermon,
2020-04-19,Success,Unknown Speaker,04-19-2020 Sunday School,https://www.youtube.com/watch?v=5fmT57jqocs,2025-12-28,Unknown,Full Sermon,
2020-04-22,Success,Unknown Speaker,04-22-2020 Darkness That May Be Felt part 2,https://www.youtube.com/watch?v=MVBht6do0Xs,2025-12-28,Unknown,Full Sermon,
2020-04-26,Success,Unknown Speaker,04-26-2020 Children of the Light,https://www.youtube.com/watch?v=gvGCDXybhYg,2025-12-28,Unknown,Full Sermon,
2020-04-26,Success,Unknown Speaker,04-26-2020 Sunday School,https://www.youtube.com/watch?v=N_dOEjmD-8A,2025-12-28,Unknown,Full Sermon,
2020-04-29,Success,Unknown Speaker,04-29-2020 Spirit Flow,https://www.youtube.com/watch?v=8HvVdOgfHe4,2025-12-28,Unknown,Full Sermon,
2020-05-03,Success,Unknown Speaker,05-03-2020 Children Of The Promise,https://www.youtube.com/watch?v=TjKa4HWd_AM,2025-12-28,Unknown,Full Sermon,
2020-05-03,Success,Unknown Speaker,05-03-2020 Sunday School ( IT IS THE RISING OF THE SUN 1965  ),https://www.youtube.com/watch?v=zoGeRZGmEUk,2025-12-28,Unknown,Full Sermon,
2020-05-06,Success,Unknown Speaker,"05-06-2020 Sunday School Message: ""Look Away To Jesus""",https://www.youtube.com/watch?v=VPmcxptYxhg,2025-12-30,Unknown,Full Sermon,
2020-05-06,Success,Unknown Speaker,05-06-2020 The Iniquities Of The Amorites,https://www.youtube.com/watch?v=h5yIIXu2eOU,2025-12-28,Unknown,Full Sermon,
2020-05-10,Success,Unknown Speaker,05-10-2020 The Mother Of All Living,https://www.youtube.com/watch?v=P-CWx0oysH4,2025-12-28,Unknown,Full Sermon,
2020-05-10,Success,Unknown Speaker,Sister Naomi Carlon (Mothers Day Song),https://www.youtube.com/watch?v=IFWtykuYlX8,2025-12-28,Unknown,Full Sermon,
2020-05-13,Success,Unknown Speaker,05-13-2020 The Iniquities Of The Amorites part 2,https://www.youtube.com/watch?v=Mv83uyxNWC8,2025-12-28,Unknown,Full Sermon,
2020-05-17,Success,Unknown Speaker,"05-17-2020 Sunday School: Look Away To Jesus, Continued",https://www.youtube.com/watch?v=0coUgH97WPA,2025-12-30,Unknown,Full Sermon,
2020-05-17,Success,Unknown Speaker,05-17-2020 Apostolic Times Among Us: Perfect Faith,https://www.youtube.com/watch?v=CvXOQuPj_Jk,2025-12-30,Unknown,Full Sermon,
2020-05-20,Success,Unknown Speaker,05-20-2020 Continuation Of The Book Of Acts,https://www.youtube.com/watch?v=6sBDIKFpTQc,2025-12-28,Unknown,Full Sermon,
2020-05-24,Success,Unknown Speaker,05-24-2020  Continuation Of The Book Of Acts part2,https://www.youtube.com/watch?v=KYajxEraI3k,2025-12-28,Unknown,Full Sermon,
2020-05-24,Success,Unknown Speaker,"05-24-2020 Sunday School: ""Look Away To Jesus""",https://www.youtube.com/watch?v=PH7WZMzJZCw,2025-12-30,Unknown,Full Sermon,
