date,status,speaker,title,url,last_checked,language,type
2024-03-16,Success,Mark Morse,03-13-24  Who Are You  Bro Mark Morse,https://www.youtube.com/watch?v=zhn1M52vELs,2025-12-28,Unknown,Full Sermon
2024-03-20,Success,Matt Morse,03-20-2024  Growing Into Perfection  Pastor Matt Morse,https://www.youtube.com/watch?v=B9idRbU4twk,2025-12-28,Unknown,Full Sermon
2024-03-31,Success,Matt Morse,03-31-24  A Witness of the Resurrection  Pastor Matt Morse,https://www.youtube.com/watch?v=pi7Mkqe7TtQ,2025-12-28,Unknown,Full Sermon
2024-04-03,Success,Andrew Glover,04-03-2024  Opportunities presented by the Message of the Hour  Bro. Andrew Glover,https://www.youtube.com/watch?v=VrtWb-G5nPg,2025-12-28,Unknown,Full Sermon
2024-04-07,Success,Jason Watkins,04-07-2024  The Revelation 1 Church  Bro. Jason Watkins,https://www.youtube.com/watch?v=PqqOM4c5Zpc,2025-12-28,Unknown,Full Sermon
2024-04-11,Success,Joe Reynolds,04-10-24  Releasing God's Power Pt. 2  Bro. Joe Reynolds,https://www.youtube.com/watch?v=IHmCdEIX4qc,2025-12-28,Unknown,Full Sermon
2024-04-15,Success,Andrew Glover,04-14-24  Yielding To The Opportunities Presented By The Message of The Hour  Bro. Andrew Glover,https://www.youtube.com/watch?v=s2iui96xd7k,2025-12-28,Unknown,Full Sermon
2024-04-18,Success,Andrew Glover,04-17-24  Yielding To The Opportunities Presented By His Presence  Bro. Andrew Glover,https://www.youtube.com/watch?v=BdlTjf9Adgo,2025-12-28,Unknown,Full Sermon
2024-04-20,Success,Stuart Duckworth,03-27-24  Worship Under Redemption  Bro Stuart Duckworth,https://www.youtube.com/watch?v=Wgp-BC_FxFo,2025-12-28,Unknown,Full Sermon
2024-04-22,Success,Matt Morse,04-21-24  The Righteous Shall Prevail  Pastor Matt Morse,https://www.youtube.com/watch?v=MbncYMLmPQU,2025-12-28,Unknown,Full Sermon
2024-04-28,Success,Matt Morse,04-28-24  A Shattered Image  Pastor Matt Morse,https://www.youtube.com/watch?v=yC8ZqKCPn7g,2025-12-28,Unknown,Full Sermon
2024-05-02,Success,Matt Morse,05-01-24  A Solemn Assembly  Pastor Matt Morse,https://www.youtube.com/watch?v=vhZpaVGDG9c,2025-12-28,Unknown,Full Sermon
2024-05-05,Success,Matt Morse,05-05-24  Believing by Revelation  Pastor Matt Morse,https://www.youtube.com/watch?v=dNPp3vrAXGc,2025-12-28,Unknown,Full Sermon
2024-05-12,Success,Joe Reynolds,05-12-24    Bro. Joe Reynolds,https://www.youtube.com/watch?v=7ahjWBrjFuM,2025-12-28,Unknown,Full Sermon
2024-05-15,Success,Bryce,05-15-24  A Higher Law  Bro. Bryce Collins,https://www.youtube.com/watch?v=_JjOoiLGDdg,2025-12-28,Unknown,Full Sermon
2024-05-23,Success,Matt Morse,"05-22-24 What is the Carcase, Who are the EaglesPastor Matt Morse",https://www.youtube.com/watch?v=yXjhm6Ner2k,2025-12-28,Unknown,Full Sermon
2024-05-26,Success,Matt Morse,05-22-24  The Morning Star Revelation Pastor Matt Morse,https://www.youtube.com/watch?v=ndGlaM3qtOM,2025-12-28,Unknown,Full Sermon
2024-05-29,Success,Joe Reynolds,05-29-24  I Have Given You The Land Bro. Joe Reynolds,https://www.youtube.com/watch?v=0ZuJYtU3PiA,2025-12-28,Unknown,Full Sermon
2024-06-09,Success,Matt Morse,06-09-24  Covered By Revelation  Pastor Matt Morse,https://www.youtube.com/watch?v=ZcNdFn98w4I,2025-12-28,Unknown,Full Sermon
2024-06-13,Success,Matt Morse,06-12-24  The Damascus Authority  Pastor Matt Morse,https://www.youtube.com/watch?v=0hZnIhpLouQ,2025-12-28,Unknown,Full Sermon
2024-06-19,Success,Joel Pruitt,06-19-24  On The Authority Of The Word Of God  Bro Joel Pruitt,https://www.youtube.com/watch?v=7RLfdTLMZD8,2025-12-28,Unknown,Full Sermon
2024-06-23,Success,Matt Morse,06-23-24  Follow Me As I Follow Christ  Pastor Matt Morse,https://www.youtube.com/watch?v=6rtL6eK46xk,2025-12-28,Unknown,Full Sermon
2024-07-03,Success,Joe Reynolds,07032024  Reflecting Your Inheritance  Bro. Joe Reynolds,https://www.youtube.com/watch?v=U4xCUDF2v8Y,2025-12-28,Unknown,Full Sermon
2024-07-07,Success,Matt Morse,07072024  The Conditions of an Unconditional Covenant  Pastor Matt Morse,https://www.youtube.com/watch?v=Bsm_Gyi8EUI,2025-12-28,Unknown,Full Sermon
2024-07-10,Success,Matt Morse,07102024  Manifesting God's Purpose  Pastor Matt Morse,https://www.youtube.com/watch?v=1VWp9xGPYgk,2025-12-28,Unknown,Full Sermon
2024-07-11,Success,David McGarrah,06-05-24  An Heir of All Things  Bro David McGarrah,https://www.youtube.com/watch?v=zcAPUrRBl-Y,2025-12-28,Unknown,Full Sermon
2024-07-14,Success,Matt Morse,7-14-24  A Cord of Salvation  Pastor Matt Morse,https://www.youtube.com/watch?v=_VbFrtgQkNA,2025-12-28,Unknown,Full Sermon
2024-07-21,Success,Matt Morse,7-21-24  King of Peace  Pastor Matt Morse,https://www.youtube.com/watch?v=x4rQV_NlLt8,2025-12-28,Unknown,Full Sermon
2024-08-01,Success,Joe Reynolds,7-31-24  Bro Joe Reynolds,https://www.youtube.com/watch?v=f0bntDWYlRA,2025-12-28,Unknown,Full Sermon
2024-08-04,Success,Timothy Pruitt,08-04-2024 Bro Timothy Pruitt,https://www.youtube.com/watch?v=v41P2SDtHac,2025-12-28,Unknown,Full Sermon
2024-08-07,Success,Matt Morse,08-07-2024  In the Midst of Them  Pastor Matt Morse,https://www.youtube.com/watch?v=AsC8bZJNaqE,2025-12-28,Unknown,Full Sermon
2024-08-14,Success,Mark Morse,08-14-2024 Bro Mark Morse,https://www.youtube.com/watch?v=wnyDk6pGtFU,2025-12-28,Unknown,Full Sermon
2024-08-18,Success,Matt Morse,08-18-2024  The Right of Inheritance Pastor Matt Morse,https://www.youtube.com/watch?v=dCA_UWQXn_A,2025-12-28,Unknown,Full Sermon
2024-08-21,Success,Matt Morse,08-21-2024  A Vindicated Policy  Pastor Matt Morse,https://www.youtube.com/watch?v=Nh8hzQbSBBs,2025-12-28,Unknown,Full Sermon
2024-09-04,Success,Josh Martin,09-04-2024  Bro Josh Martin,https://www.youtube.com/watch?v=daYfNjcC2ks,2025-12-28,Unknown,Full Sermon
2024-09-08,Success,Matt Morse,09-08-2024 An Established Kingdom Pastor Matt Morse,https://www.youtube.com/watch?v=0kXevsm2OGk,2025-12-28,Unknown,Full Sermon
2024-09-11,Success,Andrew Glover,09-11-2024 Identification Gives Satisfaction Bro Andrew Glover,https://www.youtube.com/watch?v=9dfHtfkHUW4,2025-12-28,Unknown,Full Sermon
2024-09-18,Success,Joe Reynolds,09-18-2024  This One Thing I Know  Bro Joe Reynolds,https://www.youtube.com/watch?v=Bsq5S40Cui0,2025-12-28,Unknown,Full Sermon
2024-09-26,Success,Andrew Glover,9-25-24 Walking in the Precious Light of His Resurrection Bro Andrew Glover,https://www.youtube.com/watch?v=wmvUmPvn00Y,2025-12-28,Unknown,Full Sermon
2024-09-29,Success,Matt Morse,09-29-2024  A Kingdom Inheritance  Pastor Matt Morse,https://www.youtube.com/watch?v=3_xPRh1r_iI,2025-12-28,Unknown,Full Sermon
2024-10-06,Success,Matt Morse,"10-6-2024 A Kingdom of Priests, and the Power of Pentecost  Pastor Matt Morse",https://www.youtube.com/watch?v=DlmfFgJ9Zu0,2025-12-28,Unknown,Full Sermon
